site_code,individual,leaf_number,surface,random_number,angle,length_pixels
klkb,i1,l2,lower,5,-50.711,14.15
klkb,i1,l2,upper,1,-128.66,19.209
klkb,i1,l2,upper,2,31.43,21.171
klkb,i1,l2,upper,3,6.71,17.78
klkb,i1,l2,upper,4,83.991,16.347
klkb,i1,l2,upper,5,93.576,19.379
klkb,i2,l1,lower,1,-4.086,14.43
klkb,i2,l1,lower,2,4.086,14.305
klkb,i2,l1,lower,3,98.13,14.853
klkb,i2,l1,lower,4,13.241,18.043
klkb,i2,l1,lower,5,-151.39,11.926
klkb,i2,l1,upper,1,-5.44,21.552
klkb,i2,l1,upper,2,-83.29,17.678
klkb,i2,l1,upper,3,-3.576,15.723
klkb,i2,l1,upper,4,-21.801,16.621
klkb,i2,l1,upper,5,135,15.914
klkb,i2,l2,lower,1,-40.236,16.651
klkb,i2,l2,lower,2,100.62,15.892
klkb,i2,l2,lower,3,90,13.5
klkb,i2,l2,lower,4,75.964,15.704
klkb,i2,l2,lower,5,108.435,15.186
klkb,i2,l2,upper,1,-3.18,18.679
klkb,i2,l2,upper,2,42.709,18.187
klkb,i2,l2,upper,3,30.466,19.723
klkb,i2,l2,upper,4,2.603,22.343
klkb,i2,l2,upper,5,93.18,18.265
klkb,i3,l1,lower,1,-42.274,14.866
klkb,i3,l1,lower,2,33.69,14.981
klkb,i3,l1,lower,3,-29.745,15.723
klkb,i3,l1,lower,4,-26.565,16.111
klkb,i3,l1,lower,5,24.775,14.016
klkb,i3,l1,upper,1,43.363,25.248
klkb,i3,l1,upper,2,-150.255,16.125
klkb,i3,l1,upper,3,-90,20.677
klkb,i3,l1,upper,4,152.354,24.157
klkb,i3,l1,upper,5,32.905,20.318
klkb,i3,l2,lower,1,94.399,13.06
klkb,i3,l2,lower,2,0,16.502
klkb,i3,l2,lower,3,-4.399,12.851
klkb,i3,l2,lower,4,85.914,14.004
klkb,i3,l2,lower,5,142.431,16.138
klkb,i3,l2,upper,1,-25.463,23.259
klkb,i3,l2,upper,2,150.255,24.477
klkb,i3,l2,upper,3,131.82,25.295
klkb,i3,l2,upper,4,133.264,24.046
klkb,i3,l2,upper,5,-28.811,23.045
klkb,i4,l1,lower,1,126.87,15.054
klkb,i4,l1,lower,2,4.399,13.288
klkb,i4,l1,lower,3,0,12.338
klkb,i4,l1,lower,4,38.66,12.911
klkb,i4,l1,lower,5,-36.87,14.342
klkb,i4,l1,upper,1,-72.474,19.827
klkb,i4,l1,upper,2,48.576,22.201
klkb,i4,l1,upper,3,-47.291,17.709
klkb,i4,l1,upper,4,-62.354,24.299
klkb,i4,l1,upper,5,-20.225,20.989
klkb,i4,l2,lower,1,45,15.56
klkb,i4,l2,lower,2,24.775,14.215
klkb,i4,l2,lower,3,-51.34,13.017
klkb,i4,l2,lower,4,45,12.728
klkb,i4,l2,lower,5,-55.305,15.074
klkb,i4,l2,upper,1,-16.699,20.881
klkb,i4,l2,upper,2,-26.565,22.594
klkb,i4,l2,upper,3,90,17
klkb,i4,l2,upper,4,31.608,15.549
klkb,i4,l2,upper,5,12.529,19.023
klkb,i5,l1,lower,1,-4.086,14.519
klkb,i5,l1,lower,2,-81.254,13.193
klkb,i5,l1,lower,3,-23.199,14.621
klkb,i5,l1,lower,4,12.995,13.44
klkb,i5,l1,lower,5,41.634,12.042
klkb,i5,l1,upper,1,-34.992,24.606
klkb,i5,l1,upper,2,-2.121,26.719
klkb,i5,l1,upper,3,-2.726,21.344
klkb,i5,l1,upper,4,-85.03,22.755
klkb,i5,l1,upper,5,-2.862,20.006
klkb,i5,l2,lower,1,-35.218,20.894
klkb,i5,l2,lower,2,-12.095,14.252
